# V t o r C 	 [ m / s ]
0.7600	 28058.796124200067
0.7650	 27922.846540186358
0.7700	 27782.130043180307
0.7750	 27636.265109033582
0.7800	 27484.84773240347
0.7850	 27327.464363539573
0.7900	 27163.80154311355
0.7950	 26993.482735162717
0.8000	 26815.996092175716
0.8050	 26631.054125395953
0.8100	 26438.26995740375
0.8150	 26237.222050920296
0.8200	 26027.506582718117
0.8250	 25808.75844466711
0.8300	 25580.59376407292
0.8350	 25342.55627220633
0.8400	 25094.311695452125
0.8450	 24835.489156905285
0.8500	 24565.56935848709
0.8550	 24284.234049660663
0.8600	 23991.144883003304
0.8650	 23685.790680727623
0.8700	 23366.801349985977
0.8750	 23024.42788505994
0.8800	 22644.433154832073
0.8850	 22212.811007210683
0.8900	 21715.34301261133
0.8950	 21137.638918489294
0.9000	 20465.60276375269
0.9050	 19684.7419860615
0.9100	 18780.802873204608
0.9150	 17739.383393737735
0.9200	 16545.94381428315
0.9250	 15186.190814698204
0.9300	 13653.054207336305
0.9350	 12025.03863746375
0.9400	 10433.450423541277
0.9450	 9011.13293718659
0.9500	 7890.405316500262
0.9550	 7163.341567008837
0.9600	 6856.503900014398
0.9650	 6990.746915621701
0.9700	 7586.721928816576
0.9750	 8665.379297970454
0.9800	 10242.1962526833
0.9850	 12228.939783923825
0.9900	 14433.512829658142
0.9950	 16664.91413438256
1.000	 18731.866563208463
