        R                 Z              n_n_slow        n_n_thermal        n_n_total       izn_rate_slow    izn_rate_thermal   izn_rate_total  
           1.21642          -0.88378       3.24459E+14       3.14094E+14       6.38553E+14       5.20870E+17       5.04231E+17       1.02510E+18
           1.37460          -1.30723       3.66608E+15       1.79602E+15       5.46210E+15       9.64511E+13       4.72517E+13       1.43703E+14
           1.03042           0.18754       9.06179E+15       1.43487E+15       1.04967E+16       6.01154E+17       9.51884E+16       6.96343E+17
           1.10615           0.05425       3.73826E+13       2.07676E+14       2.45059E+14       4.26224E+16       2.36785E+17       2.79407E+17
           1.10587          -0.05426       1.97771E+13       1.57502E+14       1.77279E+14       2.25539E+16       1.79616E+17       2.02170E+17
           1.06623           0.11754       2.01586E+15       5.59048E+14       2.57491E+15       1.99217E+18       5.52478E+17       2.54464E+18
           1.09797           0.11151       1.51945E+14       2.71015E+14       4.22960E+14       1.74181E+17       3.10678E+17       4.84859E+17
           1.13893           0.26116       5.58869E+12       1.37331E+14       1.42920E+14       7.07505E+15       1.73855E+17       1.80931E+17
           1.10955           0.27600       1.11219E+14       2.19679E+14       3.30899E+14       1.27887E+17       2.52601E+17       3.80488E+17
           1.12742           0.10548       8.15541E+12       1.67557E+14       1.75712E+14       1.02930E+16       2.11475E+17       2.21769E+17
           1.07557           0.05726       5.85664E+14       3.46714E+14       9.32378E+14       6.24192E+17       3.69523E+17       9.93714E+17
           1.16518           0.04822       5.71494E+10       7.60833E+13       7.61404E+13       7.20895E+13       9.59732E+16       9.60452E+16
           1.16495          -0.04825       3.03265E+10       5.98038E+13       5.98342E+13       3.82812E+13       7.54905E+16       7.55288E+16
           2.09377           0.44571       2.30239E+14       1.45586E+14       3.75825E+14       1.02704E+17       6.49424E+16       1.67646E+17
           1.15694           0.09946       3.13681E+11       1.00611E+14       1.00925E+14       4.13237E+14       1.32543E+17       1.32956E+17
           1.14380           0.20598       1.18268E+12       1.16324E+14       1.17507E+14       1.43712E+15       1.41349E+17       1.42787E+17
           1.17325           0.19405       3.77569E+10       6.77561E+13       6.77939E+13       4.71729E+13       8.46534E+16       8.47006E+16
           1.18990           0.38373       6.68744E+10       5.89864E+13       5.90533E+13       8.81700E+13       7.77702E+16       7.78583E+16
           1.16832           0.24633       2.00691E+11       8.34252E+13       8.36259E+13       2.65186E+14       1.10235E+17       1.10500E+17
           2.28825          -0.41720       9.98947E+15       3.03456E+15       1.30240E+16       1.01153E+18       3.07280E+17       1.31881E+18
           1.13564           0.05124       1.68032E+12       1.31875E+14       1.33556E+14       2.06284E+15       1.61896E+17       1.63959E+17
           1.13538          -0.05127       8.90031E+11       1.01998E+14       1.02888E+14       1.09332E+15       1.25294E+17       1.26388E+17
           1.11437           0.21792       2.80354E+13       1.80748E+14       2.08783E+14       3.16208E+16       2.03863E+17       2.35484E+17
           1.07783           0.29084       1.53330E+15       5.65799E+14       2.09910E+15       1.49805E+18       5.52791E+17       2.05084E+18
           1.08381           0.22986       4.68961E+14       3.04977E+14       7.73938E+14       4.88111E+17       3.17431E+17       8.05542E+17
           1.13161           0.42988       4.18332E+13       1.52754E+14       1.94587E+14       4.79713E+16       1.75167E+17       2.23138E+17
           1.10235           0.39363       2.04642E+14       2.17582E+14       4.22224E+14       2.12050E+17       2.25459E+17       4.37509E+17
           1.11362           0.76319       2.52865E+15       1.29179E+15       3.82043E+15       2.95265E+18       1.50839E+18       4.46104E+18
           1.08361           0.57831       1.36662E+15       5.54107E+14       1.92073E+15       1.94987E+18       7.90592E+17       2.74046E+18
           1.09999           0.45296       6.21918E+14       3.22940E+14       9.44858E+14       6.28022E+17       3.26110E+17       9.54132E+17
           1.16511           0.56724       1.42744E+13       1.08186E+14       1.22461E+14       1.62343E+16       1.23040E+17       1.39275E+17
           1.16079           0.40680       1.97829E+12       9.67315E+13       9.87098E+13       2.49804E+15       1.22145E+17       1.24643E+17
           1.02871           0.02762       6.72847E+15       1.09798E+15       7.82645E+15       5.49726E+13       8.97067E+12       6.39433E+13
           1.19385           0.53681       5.91454E+11       6.79601E+13       6.85515E+13       7.42172E+14       8.52780E+16       8.60202E+16
           1.13282           0.37322       1.15204E+13       1.31718E+14       1.43238E+14       1.28499E+16       1.46918E+17       1.59768E+17
           1.22238           0.50638       1.78077E+10       4.05807E+13       4.05985E+13       2.33316E+13       5.31689E+16       5.31922E+16
           1.13208           0.54227       8.00656E+13       1.56872E+14       2.36938E+14       8.25423E+16       1.61725E+17       2.44267E+17
           1.18073           0.71942       4.68523E+14       3.93833E+14       8.62356E+14       4.55569E+17       3.82943E+17       8.38512E+17
           1.13381           0.59767       2.52101E+14       2.58157E+14       5.10258E+14       2.54323E+17       2.60433E+17       5.14756E+17
           1.21131           0.68281       1.73793E+13       8.60332E+13       1.03413E+14       1.95680E+16       9.68680E+16       1.16436E+17
           1.05697           0.69448       4.34520E+15       1.35648E+15       5.70169E+15       4.94324E+17       1.54318E+17       6.48642E+17
           1.23918           0.64619       4.51276E+11       5.22814E+13       5.27326E+13       5.59569E+14       6.48273E+16       6.53869E+16
           1.16228           0.51418       4.01964E+12       9.46011E+13       9.86207E+13       4.44092E+15       1.04516E+17       1.08957E+17
           1.16208           0.35282       4.59662E+11       8.56039E+13       8.60636E+13       5.52836E+14       1.02956E+17       1.03509E+17
           1.17718           0.95867       2.57924E+15       1.44185E+15       4.02109E+15       2.27434E+18       1.27140E+18       3.54574E+18
           1.19128           0.33241       1.39386E+10       5.01265E+13       5.01404E+13       1.72519E+13       6.20418E+16       6.20591E+16
           1.03553           0.39496       4.99521E+15       1.29451E+15       6.28972E+15       3.13708E+17       8.12971E+16       3.95005E+17
           1.19115           0.48609       1.45060E+11       6.07447E+13       6.08897E+13       1.73202E+14       7.25292E+16       7.27024E+16
           2.19387          -0.14352       3.15201E+13       1.08873E+14       1.40393E+14       1.88928E+16       6.52573E+16       8.41501E+16
           1.17428           0.67007       1.01090E+14       1.20627E+14       2.21717E+14       1.01487E+17       1.21102E+17       2.22589E+17
           1.26665           0.60958       8.73312E+09       2.97375E+13       2.97462E+13       1.13170E+13       3.85359E+16       3.85472E+16
           1.20388           0.63538       3.25793E+12       7.28110E+13       7.60690E+13       3.58367E+15       8.00909E+16       8.36746E+16
           1.25888           0.73216       2.18410E+12       7.19585E+13       7.41427E+13       2.39542E+15       7.89208E+16       8.13162E+16
           1.25974           0.56600       1.52590E+09       2.47785E+13       2.47800E+13       1.86720E+12       3.03208E+16       3.03227E+16
           1.21984           0.45800       4.05463E+09       3.49883E+13       3.49924E+13       4.98505E+12       4.30171E+16       4.30221E+16
           1.31181           0.65224       6.59203E+08       2.06478E+13       2.06485E+13       8.05319E+11       2.52245E+16       2.52253E+16
           1.23198           0.60069       7.76400E+10       4.52191E+13       4.52968E+13       9.21776E+13       5.36861E+16       5.37783E+16
           1.04690          -0.28981       2.53547E+15       5.53626E+14       3.08909E+15       2.43810E+18       5.32365E+17       2.97047E+18
           1.32358           0.68935       3.71293E+09       2.77284E+13       2.77321E+13       4.75187E+12       3.54873E+16       3.54920E+16
           1.39373           0.74263       3.50382E+09       3.22751E+13       3.22786E+13       4.43723E+12       4.08731E+16       4.08775E+16
           1.37667           0.71341       4.74981E+08       2.23436E+13       2.23441E+13       5.80515E+11       2.73080E+16       2.73086E+16
           1.04082          -0.49534       4.49346E+15       1.00817E+15       5.50162E+15       1.00136E+18       2.24669E+17       1.22603E+18
           1.29787           0.73074       2.29946E+11       5.29105E+13       5.31404E+13       2.81291E+14       6.47249E+16       6.50062E+16
           2.25623          -0.50974       7.80428E+15       2.69927E+15       1.05036E+16       1.42036E+18       4.91259E+17       1.91161E+18
           1.28561           0.69220       4.27168E+10       4.13414E+13       4.13841E+13       5.05953E+13       4.89662E+16       4.90168E+16
           2.25873           0.28287       2.24867E+15       1.25169E+15       3.50036E+15       2.16160E+18       1.20323E+18       3.36483E+18
           1.48404           0.75222       1.01865E+09       2.58816E+13       2.58826E+13       1.25021E+12       3.17649E+16       3.17661E+16
           1.32842           0.80081       2.39347E+12       8.78250E+13       9.02184E+13       2.62362E+15       9.62700E+16       9.88936E+16
           1.24237           0.81352       3.05104E+14       4.81289E+14       7.86393E+14       2.59593E+17       4.09497E+17       6.69090E+17
           1.37075           0.78721       2.62023E+11       6.42568E+13       6.45188E+13       3.16865E+14       7.77060E+16       7.80229E+16
           1.34699           0.83178       1.40331E+13       1.18009E+14       1.32042E+14       1.53630E+16       1.29193E+17       1.44556E+17
           1.29292           0.85965       4.24331E+14       6.69850E+14       1.09418E+15       3.61630E+17       5.70869E+17       9.32499E+17
           1.33015           0.86208       1.13966E+14       1.88816E+14       3.02782E+14       1.03457E+17       1.71405E+17       2.74861E+17
           1.38210           0.89987       6.10018E+14       7.92393E+14       1.40241E+15       5.28673E+17       6.86728E+17       1.21540E+18
           1.09825           1.06069       4.48666E+15       1.23664E+15       5.72330E+15       7.58267E+14       2.08998E+14       9.67265E+14
           1.40673           0.85412       2.07077E+13       1.30285E+14       1.50992E+14       2.17342E+16       1.36743E+17       1.58477E+17
           1.27158           0.77213       1.03470E+13       9.19025E+13       1.02250E+14       1.14803E+16       1.01969E+17       1.13449E+17
           1.46527           0.79827       7.23486E+10       5.45726E+13       5.46449E+13       8.57556E+13       6.46855E+16       6.47712E+16
           1.44869           0.76262       5.98162E+09       3.47873E+13       3.47933E+13       7.49028E+12       4.35613E+16       4.35688E+16
           1.50772           0.85947       2.73597E+13       1.34571E+14       1.61930E+14       2.94736E+16       1.44968E+17       1.74442E+17
           1.44557           0.84432       4.02886E+12       1.03151E+14       1.07180E+14       4.44375E+15       1.13774E+17       1.18217E+17
           1.51623           1.05730       5.70917E+15       2.32455E+15       8.03372E+15       8.85133E+17       3.60392E+17       1.24553E+18
           1.42377           0.89036       1.54285E+14       2.09303E+14       3.63588E+14       1.34690E+17       1.82721E+17       3.17411E+17
           1.48768           0.90551       6.21145E+14       7.75100E+14       1.39625E+15       5.56487E+17       6.94417E+17       1.25090E+18
           1.39990           1.07770       4.35501E+15       2.09748E+15       6.45249E+15       6.94302E+17       3.34392E+17       1.02869E+18
           1.52443           0.81342       6.69807E+11       6.70766E+13       6.77465E+13       8.07038E+14       8.08194E+16       8.16265E+16
           1.42815           0.80837       4.08716E+11       6.91996E+13       6.96084E+13       4.90085E+14       8.29763E+16       8.34664E+16
           1.35290           0.75711       3.84588E+10       4.75210E+13       4.75595E+13       4.55696E+13       5.63073E+16       5.63529E+16
           1.28430           0.97388       2.00246E+15       1.84099E+15       3.84345E+15       1.80275E+18       1.65739E+18       3.46013E+18
           1.54014           0.76737       1.22541E+10       3.53807E+13       3.53930E+13       1.54456E+13       4.45955E+16       4.46109E+16
           1.23047           0.77212       7.86379E+13       1.21585E+14       2.00223E+14       7.43437E+16       1.14946E+17       1.89289E+17
           2.05387           0.64916       1.14909E+15       1.23061E+15       2.37970E+15       3.28739E+18       3.52063E+18       6.80802E+18
           1.49366          -1.04477       1.98099E+13       1.04280E+14       1.24090E+14       6.53181E+16       3.43838E+17       4.09156E+17
           1.56716          -1.06759       2.30329E+14       2.78213E+14       5.08542E+14       7.16839E+17       8.65867E+17       1.58271E+18
           1.61254          -1.15693       2.54393E+15       1.26743E+15       3.81136E+15       4.81551E+18       2.39917E+18       7.21469E+18
           1.58521          -0.92702       1.06194E+12       4.12124E+13       4.22743E+13       3.05882E+15       1.18708E+17       1.21767E+17
           1.61602          -0.99119       2.18291E+13       9.36809E+13       1.15510E+14       6.90814E+16       2.96467E+17       3.65549E+17
           1.63017          -0.87280       1.23596E+11       2.92712E+13       2.93948E+13       3.26914E+14       7.74225E+16       7.77494E+16
           1.53270          -0.82780       4.80571E+08       1.36755E+13       1.36760E+13       9.65044E+11       2.74621E+16       2.74631E+16
           1.69962          -0.97702       1.93892E+14       2.55678E+14       4.49570E+14       5.88056E+17       7.75447E+17       1.36350E+18
           1.58691          -1.25673       3.78110E+15       1.02748E+15       4.80858E+15       4.54187E+18       1.23422E+18       5.77608E+18
           1.73667          -1.23967       1.68871E+16       1.23665E+15       1.81237E+16       7.11758E+13       5.21224E+12       7.63881E+13
           1.63960          -1.32867       1.38967E+16       1.20897E+15       1.51056E+16       1.72309E+15       1.49904E+14       1.87299E+15
           1.74079          -1.06135       2.18664E+15       1.19987E+15       3.38651E+15       5.20952E+18       2.85862E+18       8.06814E+18
