        R                 Z              n_n_slow        n_n_thermal        n_n_total       izn_rate_slow    izn_rate_thermal   izn_rate_total  
           1.16427          -0.05194       2.75887E+12       2.02539E+14       2.05298E+14       4.72070E+14       3.46564E+16       3.51285E+16
           1.11818          -0.17502       3.93541E+14       3.63179E+14       7.56720E+14       5.48701E+16       5.06369E+16       1.05507E+17
           1.18276          -0.05099       2.63939E+11       1.46816E+14       1.47080E+14       4.66200E+13       2.59323E+16       2.59789E+16
           1.13423          -0.07926       7.08819E+13       3.10253E+14       3.81135E+14       1.05667E+16       4.62507E+16       5.68173E+16
           1.11605           0.02525       6.63562E+14       5.03297E+14       1.16686E+15       8.99585E+16       6.82315E+16       1.58190E+17
           1.15640           0.09551       9.06075E+12       2.50507E+14       2.59568E+14       1.46755E+15       4.05742E+16       4.20418E+16
           1.15272          -0.07732       8.79453E+12       2.32011E+14       2.40806E+14       1.41901E+15       3.74354E+16       3.88544E+16
           1.18607           0.06428       2.38694E+11       1.51129E+14       1.51367E+14       4.22709E+13       2.67637E+16       2.68060E+16
           1.18971          -0.07351       7.77682E+10       1.22904E+14       1.22982E+14       1.34741E+13       2.12944E+16       2.13079E+16
           1.16544          -0.08809       2.40116E+12       1.89217E+14       1.91618E+14       4.11819E+14       3.24523E+16       3.28641E+16
           1.16764           0.06817       2.60570E+12       2.11145E+14       2.13751E+14       4.47434E+14       3.62565E+16       3.67039E+16
           1.20127          -0.05004       2.17747E+10       1.05607E+14       1.05629E+14       3.92051E+12       1.90145E+16       1.90184E+16
           1.13373          -0.00212       1.01083E+14       3.50702E+14       4.51784E+14       1.50672E+16       5.22750E+16       6.73422E+16
           1.21989          -0.03879       1.51094E+09       7.80338E+13       7.80353E+13       2.94147E+11       1.51915E+16       1.51918E+16
           1.21720          -0.21277       4.25775E+09       7.10483E+13       7.10526E+13       7.59955E+11       1.26812E+16       1.26820E+16
           1.23968          -0.04815       8.73481E+07       5.38510E+13       5.38511E+13       1.54265E+10       9.51057E+15       9.51058E+15
           1.27134          -0.17001       7.13786E+05       2.77575E+13       2.77575E+13       2.40837E+08       9.36560E+15       9.36560E+15
           1.25538          -0.19677       1.33959E+07       3.69433E+13       3.69433E+13       2.32045E+09       6.39935E+15       6.39935E+15
           1.25762          -0.03784       5.53556E+06       3.90816E+13       3.90817E+13       9.62470E+08       6.79515E+15       6.79515E+15
           1.22344           0.05659       1.22599E+09       7.61192E+13       7.61204E+13       2.39288E+11       1.48569E+16       1.48571E+16
           1.22770          -0.06973       3.21857E+08       6.35086E+13       6.35089E+13       6.08362E+10       1.20042E+16       1.20042E+16
           1.27604          -0.03736       3.01686E+05       2.74703E+13       2.74703E+13       5.09273E+07       4.63723E+15       4.63723E+15
