 Global NB Heating and Current Drive Parameters
 ----------------------------------------------
 TOTALS:
 Total Absorbed Power      =    4.6000 MW
 Total Lost Power          =     .0000 MW
 Total NB Driven Current   =   .12259E+06 A
 Total NBCD Efficiency     =   .26650E-01 A/W
 Total Beam Beta           =   .15090E-02
 Taus                      =   .25679E-02 s
 Volp                      =   .17757E+02 m3

 Information per Beamline and Energy Group:
 -----------------------------------------
                       Beam 1          Beam 2          Beam 3
                       ------          ------          ------
 Absorbed Power      .46000E+01
 Lost Power          .00000E+00
 NB driven current   .12259E+06
 NBCD efficiency     .26650E-01
 NBCD gamma          .13014E-01

 Beam Shinethrough
    energy group 1   .00000E+00
    energy group 2   .00000E+00
    energy group 3   .00000E+00

 Beam-Target Parameters
 ----------------------
 Total Beam-Target Fusion Power   =   .26050E-03 MW
 Total Power to Charged Particles =   .17189E-03 MW
 Total DT Neutron Rate            =   .00000E+00 n/s
 Total DD Neutron Rate            =   .22572E+15 n/s

 Neutral Beam Deposition Profiles
 --------------------------------
 Beam  1
     rho      hofr_1       hofr_2       hofr_3
  .5200   .9531E+05   .1689E+00   .1404E+00   .9607E+18   .3050E+04   .1682E-04   .3470E+00   .3307E-01
  .5400   .8978E+05   .1643E+00   .1312E+00   .9090E+18   .2849E+04   .1522E-04   .3633E+00   .3462E-01
  .5600   .8444E+05   .1601E+00   .1223E+00   .8589E+18   .2655E+04   .1372E-04   .3800E+00   .3621E-01
  .5800   .7925E+05   .1560E+00   .1138E+00   .8103E+18   .2469E+04   .1230E-04   .3970E+00   .3784E-01
  .6000   .7417E+05   .1521E+00   .1055E+00   .7624E+18   .2287E+04   .1097E-04   .4144E+00   .3950E-01
  .6200   .6922E+05   .1482E+00   .9750E-01   .7155E+18   .2112E+04   .9731E-05   .4322E+00   .4119E-01
  .6400   .6437E+05   .1445E+00   .8972E-01   .6695E+18   .1942E+04   .8572E-05   .4504E+00   .4292E-01
  .6600   .5961E+05   .1407E+00   .8215E-01   .6239E+18   .1777E+04   .7491E-05   .4689E+00   .4469E-01
  .6800   .5491E+05   .1369E+00   .7478E-01   .5787E+18   .1616E+04   .6489E-05   .4879E+00   .4650E-01
  .7000   .5032E+05   .1331E+00   .6766E-01   .5341E+18   .1460E+04   .5567E-05   .5073E+00   .4835E-01
  .7200   .4580E+05   .1292E+00   .6076E-01   .4898E+18   .1309E+04   .4724E-05   .5271E+00   .5024E-01
  .7400   .4136E+05   .1252E+00   .5409E-01   .4459E+18   .1163E+04   .3956E-05   .5474E+00   .5217E-01
  .7600   .3703E+05   .1210E+00   .4768E-01   .4026E+18   .1022E+04   .3266E-05   .5682E+00   .5415E-01
  .7800   .3280E+05   .1166E+00   .4156E-01   .3598E+18   .8881E+03   .2652E-05   .5894E+00   .5618E-01
  .8000   .2870E+05   .1120E+00   .3575E-01   .3179E+18   .7607E+03   .2112E-05   .6112E+00   .5825E-01
  .8200   .2476E+05   .1072E+00   .3027E-01   .2770E+18   .6408E+03   .1645E-05   .6334E+00   .6037E-01
  .8400   .2100E+05   .1022E+00   .2517E-01   .2375E+18   .5293E+03   .1249E-05   .6562E+00   .6253E-01
  .8600   .1748E+05   .9696E-01   .2049E-01   .1997E+18   .4273E+03   .9202E-06   .6794E+00   .6475E-01
  .8800   .1432E+05   .9192E-01   .1630E-01   .1646E+18   .3369E+03   .6574E-06   .7032E+00   .6702E-01
  .9000   .1139E+05   .8662E-01   .1255E-01   .1317E+18   .2567E+03   .4496E-06   .7276E+00   .6934E-01
  .9200   .8384E+04   .7898E-01   .9107E-02   .9940E+17   .1827E+03   .2820E-06   .7525E+00   .7172E-01
  .9400   .5753E+04   .7022E-01   .6198E-02   .7070E+17   .1213E+03   .1620E-06   .7781E+00   .7415E-01
  .9600   .3538E+04   .5941E-01   .3847E-02   .4618E+17   .7308E+02   .8185E-07   .8042E+00   .7664E-01
  .9800   .2004E+04   .4766E-01   .2174E-02   .2814E+17   .4079E+02   .3677E-07   .8309E+00   .7918E-01
 1.0000   .0000E+00   .0000E+00   .0000E+00   .0000E+00   .0000E+00   .0000E+00   .0000E+00   .0000E+00
