 from   to   via     T_slow    T_thermal     mfp_s       mfp_t    
    11  1745    32   3.460E-01   3.661E-01   2.024E-01   8.451E-01
    11  1554    32   5.911E-01   6.188E-01   2.024E-01   8.451E-01
  1745    11    32   2.129E-01   2.129E-01   2.024E-01   2.024E-01
  1745  1745    32   0.000E+00   0.000E+00   2.024E-01   2.024E-01
  1745  1554    32   7.337E-01   7.337E-01   2.024E-01   2.024E-01
  1554    11    32   3.144E-01   3.271E-01   2.024E-01   5.867E-01
  1554  1745    32   6.341E-01   6.551E-01   2.024E-01   5.867E-01
  1554  1554    32   0.000E+00   0.000E+00   2.024E-01   5.867E-01
   124   124    33   0.000E+00   0.000E+00   4.886E-01   4.886E-01
   124   116    33   6.127E-01   6.127E-01   4.886E-01   4.886E-01
   124    73    33   3.625E-01   3.625E-01   4.886E-01   4.886E-01
   116   124    33   8.680E-01   8.832E-01   4.886E-01   1.750E+00
   116   116    33   0.000E+00   0.000E+00   4.886E-01   1.750E+00
   116    73    33   1.053E-01   1.093E-01   4.886E-01   1.750E+00
    73   124    33   8.044E-01   8.195E-01   4.886E-01   1.573E+00
    73   116    33   1.650E-01   1.710E-01   4.886E-01   1.573E+00
    73    73    33   0.000E+00   0.000E+00   4.886E-01   1.573E+00
    15    15    34   0.000E+00   0.000E+00   6.792E-02   3.795E-01
    15    41    34   7.934E-01   8.814E-01   6.792E-02   3.795E-01
    15    50    34   7.231E-02   9.449E-02   6.792E-02   3.795E-01
    41    15    34   4.510E-01   4.926E-01   6.792E-02   2.144E-01
    41    41    34   0.000E+00   0.000E+00   6.792E-02   2.144E-01
    41    50    34   4.296E-01   4.696E-01   6.792E-02   2.144E-01
    50    15    34   7.546E-02   9.461E-02   6.792E-02   2.144E-01
    50    41    34   7.887E-01   8.621E-01   6.792E-02   2.144E-01
    50    50    34   0.000E+00   0.000E+00   6.792E-02   2.144E-01
  1476  1476    35   0.000E+00   0.000E+00   6.754E-02   5.368E-01
  1476  1284    35   2.441E-01   2.668E-01   6.754E-02   5.368E-01
  1476  1444    35   6.815E-01   7.239E-01   6.754E-02   5.368E-01
  1284  1476    35   2.107E-01   2.264E-01   6.754E-02   2.257E-01
  1284  1284    35   0.000E+00   0.000E+00   6.754E-02   2.257E-01
  1284  1444    35   7.185E-01   7.524E-01   6.754E-02   2.257E-01
  1444  1476    35   4.211E-01   4.416E-01   6.754E-02   2.135E-01
  1444  1284    35   5.143E-01   5.380E-01   6.754E-02   2.135E-01
  1444  1444    35   0.000E+00   0.000E+00   6.754E-02   2.135E-01
  1781  1781    36   0.000E+00   0.000E+00   6.792E-02   6.792E-02
  1781    40    36   1.935E-01   1.935E-01   6.792E-02   6.792E-02
  1781  1780    36   6.104E-01   6.104E-01   6.792E-02   6.792E-02
    40  1781    36   2.328E-01   2.328E-01   6.792E-02   6.792E-02
    40    40    36   0.000E+00   0.000E+00   6.792E-02   6.792E-02
    40  1780    36   5.586E-01   5.586E-01   6.792E-02   6.792E-02
  1780  1781    36   4.645E-01   5.326E-01   6.792E-02   2.144E-01
  1780    40    36   3.533E-01   4.096E-01   6.792E-02   2.144E-01
  1780  1780    36   0.000E+00   0.000E+00   6.792E-02   2.144E-01
    41    41    37   0.000E+00   0.000E+00   1.413E-01   3.658E-01
    41    49    37   4.805E-01   5.078E-01   1.413E-01   3.658E-01
    41    43    37   4.335E-01   4.590E-01   1.413E-01   3.658E-01
    49    41    37   5.826E-01   5.826E-01   1.413E-01   1.413E-01
